,Date,Region,Depth,Magnitude,Deaths
0,2023-02-20,Turkey; Syria,16,6.3,6
1,2023-02-06,Turkey; Syria,17,7.8,48224
2,2023-02-06,Turkey; Syria,10,7.5,0
3,2020-10-30,Samos; Turkey (Izmir),21,7.0,117
4,2020-06-25,Van,10,5.4,0
5,2020-06-14,Bingol,10,5.9,1
6,2020-01-24,Elazig And Malatya Provinces,12,6.7,41
7,2019-09-26,Istanbul,10,5.7,1
8,2019-08-08,Denizli,10,5.8,0
9,2018-04-24,Adiyaman,10,5.2,0
10,2017-07-20,"Bodrum, Datca; Greece (Kos)",26,6.6,2
11,2017-05-28,"Manisa (Saruhanli, Golmarmara)",37,4.9,0
12,2017-02-06,Canakkale,4,5.3,0
13,2012-06-14,Sirnak,53,5.3,0
14,2012-06-10,Fethiye; Greece (Rhodes),16,6.1,0
15,2011-11-09,Van,33,5.7,40
16,2011-10-23,"Ercis, Van",22,7.1,604
17,2011-05-19,Simav,51,4.3,2
18,2010-03-08,"Elazig Province (Okcular, Yukari Demirci)",34,6.1,51
19,2008-09-03,Adiyaman,47,4.1,0
20,2007-12-26,Central (Ankara),10,5.6,0
21,2007-12-20,"Central (Yeniyapan, Abazlar, Suyuguzel)",29,5.7,0
22,2007-02-21,"Dogankoy, Puturge, Sivrice",29,5.7,0
23,2007-01-21,E,57,5.1,0
24,2006-06-03,Hakkari,45,4.1,0
25,2005-12-24,Akhisar,7,4.3,0
26,2005-11-26,Doganyol,55,4.4,0
27,2005-10-20,Izmir,4,5.9,1
29,2005-03-14,Eastern (Bingol Province),55,5.8,0
30,2005-03-12,"Cat, Karliova",12,5.6,0
31,2005-01-25,Hakkari,16,5.9,2
32,2004-12-20,Marmaris,12,5.4,0
33,2004-08-11,"Elazig, Sivrice",26,5.7,1
34,2004-08-04,Bodrum,7,5.6,0
35,2004-07-30,Dogubeyazit,7,4.0,1
36,2004-07-01,Dogubeyazit,9,5.1,18
37,2004-03-28,Askale,10,5.6,0
38,2004-03-25,Erzurum,49,5.6,10
39,2003-07-26,Western (Buldan),49,5.4,0
40,2003-07-26,Western (Buldan),57,4.5,0
41,2003-05-01,Bingol,4,6.4,177
42,2003-04-10,"Izmir, Seferihisar",15,5.7,0
43,2003-01-27,"Saglamtas, Pulumur",23,6.1,1
44,2002-02-03,Afyon,28,6.5,44
45,2001-06-25,Osmaniye,46,5.5,0
46,2000-12-15,Afyon-Bolvadin,47,6.0,6
47,2000-06-06,"Cerkes, Cubuk, Orta",49,6.0,2
48,2000-05-07,"Doganyol, Puturge",54,4.1,0
49,1999-12-03,"Goresken, Erzurum Province",54,5.7,1
50,1999-11-12,"Bolu-Duzce-Kaynasli, Adapazari, Zonguldak",19,7.2,894
51,1999-11-11,"Adapazari, Koceali, Golcuk",25,5.7,2
52,1999-09-13,Adapazari-Goluck-Kocaeli,28,5.8,7
53,1999-08-31,Izmit,49,5.2,1
54,1999-08-17,"Istanbul, Kocaeli, Sakarya",39,7.6,17118
55,1998-06-27,"Adana, Ceyhan",52,6.3,145
56,1995-10-01,"Dinar, Evciler",16,6.4,95
57,1992-03-13,Erzincan,39,6.9,653
58,1991-06-16,Kagizman,10,4.5,0
59,1991-04-24,Erzurum Province,35,4.5,1
60,1990-07-18,"Cameli, Denizli",24,5.1,0
61,1989-03-10,"Erzurum, Kars",48,4.4,0
62,1986-10-11,"Aydin, Denizli-Izmir-Manisa",10,5.5,0
63,1986-08-03,"Yesilce, Ucgoze, Sam",20,4.1,0
64,1986-05-05,"Dogansehir-Golbashi, Kapidere",38,5.9,15
65,1985-11-07,"Erzurum, Kars, Agri, Artvin",21,4.2,0
66,1984-10-18,"E, Senkaya",24,5.3,3
67,1984-09-18,"E, Erzurum, Olur-Senkaya",1,6.4,3
68,1983-10-30,"Erzurum, Kars, Khorasan, Pasinler, Narman",27,6.9,1342
69,1983-07-05,"Nw, Biga, Erdek, Istanbul",27,6.1,5
70,1979-07-18,"Dursunbey, Anatolia",2,4.9,0
71,1978-02-15,Turkey,37,4.5,0
72,1977-03-25,Turkey,58,4.9,30
73,1976-11-24,Muradiye,18,7.3,5000
74,1976-08-19,Denizli,36,4.9,4
75,1976-04-29,Turkey,9,5.5,4
76,1976-03-25,Turkey,39,4.8,1
77,1975-09-06,Lice,10,6.7,2311
78,1975-03-27,"W; Canakkale, Eceabat, Gelibolu, Lapseki",6,6.7,0
79,1974-02-01,Izmir,2,5.2,2
80,1971-05-22,Bingol,58,6.7,1000
81,1971-05-12,Burdur,13,5.9,100
82,1970-07-02,Sivas,35,4.9,1
84,1970-03-28,Gediz,23,7.4,1086
89,1968-09-03,"Bartin, Amasra, Cakraz",52,6.6,24
93,1966-07-12,Bagici,12,4.6,12
110,1953-03-18,"Yenice, Onon",11,7.5,1070
